Container,CPU Usage (%),Memory Usage (%),Network Usage
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.02%,44.97MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.02%,44.97MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.02%,44.97MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.02%,44.97MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.02%,44.97MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,83.52MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.12%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.12%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.12%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.13%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.08%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.74%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.94%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.20%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.13%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.36%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.84%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.13%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.97%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.08%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.20%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.16%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.04%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.12%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.13%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.13%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.13%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.12%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.12%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.75%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.84%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.22%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,4.26%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.77%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.86%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.95%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.78%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.76%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.28%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.98%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.64%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.88%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.27%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.09%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.10%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.57%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.10%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.38%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.47%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.89%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,7.34%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.92%,89.94MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,0.11%,96.37MiB,0B / 0B
k8s_extractor_extractor-69dd48dc8d-hzgr7_default_ec1110d1-5ed1-4c67-801b-c1bca5b2654d_0,6.74%,96.37MiB,0B / 0B
